Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views (Excluding offsite video views),Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
,https://www.linkedin.com/feed/update/urn:li:activity:7047880880765157376,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",04/01/2023,,,All followers,59,,,1,0.016949153,0,0,0,,0.016949153,
,https://www.linkedin.com/feed/update/urn:li:activity:7046589119954649089,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",03/28/2023,,,All followers,123,,,1,0.008130081,0,0,0,,0.008130081,
,https://www.linkedin.com/feed/update/urn:li:activity:7044636829291032576,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",03/23/2023,,,All followers,89,,,2,0.02247191,0,0,0,,0.02247191,
We're #hiring a new Co-Founder in Berlin. Apply today or share this post with your network.,https://www.linkedin.com/feed/update/urn:li:activity:7042932448220835840,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",03/18/2023,,,All followers,58,,,2,0.034482758,0,0,0,,0.034482758,
"RESEARCHPRENEURS are #hiring! Are you an ML/AI/NLP/DL expert? 
Let's create a science-driven impact within our company and with other SMEs together!

#startup #cofounders #machinelearning #naturallanguageprocessing #artificialintelligence #opportunities ",https://www.linkedin.com/feed/update/urn:li:activity:7042491417197228032,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",03/17/2023,,,All followers,160,,,4,0.025,3,0,0,,0.037500001,
"Visit our booth already today, 23rd of February (Thursday), 17:00-19:30, Berlin, Rohrdamm 88 😎 🤓 👋  

#startup #uxtesting #researchpreneurs #pitching ",https://www.linkedin.com/feed/update/urn:li:activity:7034280651340034048,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",02/22/2023,,,All followers,117,,,1,0.008547009,2,0,0,,0.008547009,
"With the help of Startup Incubator Berlin and highly competitive BSS scholarship from Senatsverwaltung für Wirtschaft, Energie und Betriebe, where only six startups are selected per each funded round.  

✅ Piece by piece, we've transitioned from a pre-seed to a seed startup, milestones have been reached. 

🆙 This also means that we'll be starting our Series A fundraising soon! If you're an investor or you know investors, BAs or VCs, who are interested in supporting us, please do let Alevtina know.

Thanks to everyone for your endless support! 

#startups #fundraising #businessangels #startupfunding ",https://www.linkedin.com/feed/update/urn:li:activity:7031350861725356032,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",02/14/2023,,,All followers,148,,,9,0.060810812,3,0,0,,0.074324325,
"Join the revolution in computer science.

Connect with top researchers and innovative startups at Researchpreneurs.

🌐 www.researchpreneurs.com


#computerscience #research #innovation #startups #science #technology",https://www.linkedin.com/feed/update/urn:li:activity:7026505845207142400,Organic,,Rim Silini,02/01/2023,,,All followers,194,44,,4,0.020618556,3,0,0,,0.030927835,Video
"🤔 Have you started incorporating ChatGPT in your work, #business , or #studies ? 💻

ChatGPT, is an advanced language model developed by OpenAI, designed to generate human-like text. 🤖

Here's why you should consider using ChatGPT:
• Efficient natural language processing tasks such as language translation and text summarization
• Trained on a vast amount of text data, providing a good understanding of various topics
• Ability to complete text and generate creative and engaging prompts

Discover the potential of ChatGPT for your work or business. 🚀

Like, share and follow us if you found this post informative 💡🤖💻

#chatgpt #openai #artificialintelligence #machinelearning #technology #innovation ",https://www.linkedin.com/feed/update/urn:li:activity:7026084199115739136,Organic,,Rim Silini,01/31/2023,,,All followers,346,,,370,1.06936419,2,0,0,,1.0722543,
"Start the week strong by connecting with fellow researchers and startups 
through #researchpreneurs

Join our community today to enhance your network and access exciting opportunities!

🌐  www.researchpreneurs.com




 #MondayMotivation #Research #Innovation #researchers #academia #science",https://www.linkedin.com/feed/update/urn:li:activity:7025735710850641920,Organic,,Rim Silini,01/30/2023,,,All followers,158,,,5,0.03164557,1,0,0,,0.03164557,
"Join the revolution in biotechnology research.

Connect with top researchers and innovative startups at Researchpreneurs.

#biotechnology #research #innovation #startups #science ",https://www.linkedin.com/feed/update/urn:li:activity:7025017319638654976,Organic,,Rim Silini,01/28/2023,,,All followers,175,34,,2,0.011428571,3,0,0,,0.017142856,Video
"🔎 Are you tired of being stuck in the lab with no one to share your ideas with? Are you a researcher looking to take your work to the next level? 🚀 

 Look no further than RESEARCHPRENEURS! We connect researchers with startups for transdisciplinary collaborations. 🤝 

Imagine the possibilities when you bring together the best minds from different fields to work on a common goal. The results are nothing short of groundbreaking. 👩‍🔬 👨‍💼 

At RESEARCHPRENEURS, we believe that research should be exciting and fulfilling. That's why we make it easy for you to find the perfect match for your project and take your research to the next level. 

From product development to market research, we've got you covered. But don't just take our word for it, see for yourself. 

Register now on our website and let us help you take your research to the next level. Don't miss out on the chance to be a part of the research revolution. 

🌐 Website ➡ www.researchpreneurs.com

Sign up now and get ready to #makeanimpact 

#researcher #research #science #scientist #opportunity #innovation ",https://www.linkedin.com/feed/update/urn:li:activity:7023941472118796289,Organic,,Rim Silini,01/25/2023,,,All followers,209,55,,5,0.023923445,2,0,0,,0.028708134,Video
"Hey Researchers! We know that research can be a lot to handle, but that doesn't mean you have to sacrifice your well-being. 

Here are some tips to help boost your productivity while still taking care of yourself:

✅Set clear goals: Break down your research into manageable tasks and set specific deadlines for each one.

✅Prioritize: Tackle the most important tasks first, and don't be afraid to say no to less important requests.

✅Take regular breaks: It's important to take a step back and give your mind and body a break. Take a walk, stretch, or engage in an activity you enjoy.

✅Engage in self-care activities: Whether it's meditation, yoga, or spending time with loved ones, make sure you're taking time for yourself.

➡➡At RESEARCHPRENEURS, we understand the importance of self-care and professional development for researchers. That's why we'll be sharing more tips and resources to help you thrive in your research and career. 

Also, If you're looking for opportunities outside of academia, visit our website and register for free today! ⬇ 

Registration on our website and the onboarding process for researchers looking to collaborate with startups and companies 
are 💯 % free. So why wait? 😉 
Register now, and we'll contact you when we find the right partner for you. Don't miss the chance to boost both your academic and professional careers. 🚀 

🌐 Website: www.researchpreneurs.com



 #Research #productivity  #selfcare  #professionaldevelopment  #Researchpreneurs #academicjobs #academia #researchers ",https://www.linkedin.com/feed/update/urn:li:activity:7023246344710496256,Organic,,Rim Silini,01/23/2023,,,All followers,179,37,,3,0.016759777,4,0,0,,0.027932961,Video
"Have you ever wondered about the effectiveness of carbon offset credits? 🤔 

A new investigation into the world's leading carbon standard provider has found that over 90% of the rainforest offset credits commonly used by companies may be ""phantom credits"" and do not actually represent genuine carbon reductions. 📑 

❓ This raises important questions about the validity of offsets as part of a company's net zero strategy and the responsibilities of companies making environmental claims. 

➡ It's important to stay informed and ask critical questions about the actions being taken to combat climate change. ♻ 

💡 Let's take action for a sustainable future - every step counts

#carbonoffsets #climatechange #sustainability #environmental #research #future #researchers ",https://www.linkedin.com/feed/update/urn:li:activity:7021691586426150912,Organic,,Rim Silini,01/19/2023,,,All followers,153,,,1,0.006535948,0,0,1,,0.013071896,
"Sign up for the Researchpreneurs newsletter! 📩 

🚀 Our exclusive newsletter offers in-depth knowledge and industry insights to help you take your project to the next level. 

Learn about new opportunities and collaborations, stay informed about the latest trends and breakthroughs, and expand your network. 📰 

Don't miss out on the chance to be a part of the research and startup revolution. 

➡ Sign up now and #stayahead with Researchpreneurs newsletter! 

➡🌐Website: www.researchpreneurs.com


#Innovation #Collaboration #Startup #Research #Newsletter""",https://www.linkedin.com/feed/update/urn:li:activity:7021455998112448513,Organic,,Rim Silini,01/18/2023,,,All followers,200,45,,2,0.01,5,0,0,,0.029999999,Video
"Let's bring together researchers and impact startups to create new opportunities for growth and solutions for real-world problems. 

During this live event, we will highlight how you can join our community and what values RESEARCHPRENEURS bring for #researcher, #startups, and #investors. 

Stay tuned and sign up for newsletter! #researchpreneurs ",https://www.linkedin.com/feed/update/urn:li:activity:7020896418391302144,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",01/16/2023,,,All followers,351,42,,10,0.028490029,3,5,1,,0.051282052,Video
"Get ready to level up your startup and research game!   

💬 Join us for our upcoming livestream where we'll be sharing valuable insights and industry trends to help you take your business and research to the next level ⬇️

📅 Don't miss out, mark your calendars and tune in!  


 #startups #research #livestream ",https://www.linkedin.com/feed/update/urn:li:activity:7021010595915206656,Organic,,Rim Silini,01/17/2023,,,All followers,220,,,5,0.022727273,7,0,0,,0.050000001,
"Hi all! RESEARCHPRENEURS are looking for researchers and tech & science-driven startups to participate in a 30-minute interview! Please book an appointment with our external UX/UI designers here: https://lnkd.in/eeSvV426

If you're not available for a zoom call, please participate in this survey: https://lnkd.in/eNWET9J7

Thanks in advance for any help you’re able to offer! 🍀

#researcher #startups #surveying #researchpreneurs",https://www.linkedin.com/feed/update/urn:li:activity:7020794973423853568,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",01/16/2023,,,All followers,249,,,12,0.048192769,6,0,1,,0.072289154,
"We've hit a major milestone: 600+ followers! 🎉 😁 
A big thank you to our amazing community for supporting 
us on our startup journey. We couldn't have done it without you! 

#startuplife #community #grateful #thankyou ",https://www.linkedin.com/feed/update/urn:li:activity:7019922522171183104,Organic,,Rim Silini,01/14/2023,,,All followers,313,56,,6,0.019169329,8,0,0,,0.041533545,Video
"Can you recognize one of the participants? (Hint: the redhead). Our CEO, Alevtina attended the onboarding workshop at Startup Incubator Berlin back at the beggining of December!

What does it mean? 😉 We have more news to share and celebrate with our supporters and followers 🎉

Stay tuned! 

#startup #startupincubator #berlinstartups #startupinvestment ",https://www.linkedin.com/feed/update/urn:li:activity:7013980667612942337,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",12/28/2022,,,All followers,232,,,5,0.021551725,4,1,0,,0.038793102,
"RESEARCHPRENEURS got lots of attention at the UX-MAS Startup Incubator Berlin 🎉 We look forward to more registrations from startups on our webpage, https://lnkd.in/eYsWEvkt. 

🚀 Startups: Describe briefly where your product development might experiencing any bottlenecking and let our experts find solutions for you!

🧠 Researchers: Become one of the experts and co-create innovations together with impact startups! Registration is on the website. 

#startup #development #startups #researchers #research #impactstartups #socialinnovation #purposedriven #innovations 
",https://www.linkedin.com/feed/update/urn:li:activity:7009652261085667328,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",12/16/2022,,,All followers,170,,,12,0.070588239,2,0,0,,0.076470591,
"Join RESEARCHPRENEURS! Do you know a Full-Stack Developer who is also having a research or R&D experience? We're looking for you as our CTO and we're sure you're also looking for us - apply below and let's chat 👋

#fullstackdeveloper #cofounder #impactstartups #berlinstartups",https://www.linkedin.com/feed/update/urn:li:activity:7008947496869601281,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",12/15/2022,,,All followers,190,,,5,0.02631579,2,0,0,,0.02631579,
"Join RESEARCHPRENEURS! We look for an intern for administrative coordinator position - check our job description and apply!

#intern #internship #internshipopportunity",https://www.linkedin.com/feed/update/urn:li:activity:7007696327492915200,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",12/11/2022,,,All followers,229,,,6,0.026200874,3,0,0,,0.034934498,
"Berlin-based followers - it's your chance to get to know us better!

Registration link: https://lnkd.in/emjPcCM9

We will be participating in this Networking and UX-Testing event and inviting you to come over, meet us in person as well as other startups on Dec 15th at Startup Incubator Berlin

 
🎄Happy approaching Christmas holidays and see you on 15th!🎄 
.
.
#networking #berlinstartups #startups #uxuidesign 
",https://www.linkedin.com/feed/update/urn:li:activity:7006287565938937856,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",12/07/2022,,,All followers,221,,,6,0.027149322,10,2,1,,0.07692308,
"What is your experience with IP so far? 

➡As a service provider, we are not only serious about protecting our client's intellectual property (IP) as part of our service, we are also continuously working to safeguard our own IP generated by 
our researchers.

Safeguarding IP is much easier in the beginning phases of a business than after those ideas have become successful. As we continue to improve our operations, the need to properly manage and think about IP becomes more pressing. 💡 This is why we decided to share a few points with you on how to protect your IP.

So what is intellectual property (IP)?

Here are 6 ways to protect your IP:

✅ Copyright Registration
✅ Application for a Patent or Provisional Patent
✅ Trademark Registration
✅ Opt for a Contract of Ownership
✅ Publishing it Widely with Attribution
✅ Tight Security Controls

✴ Dear RESEARCHPRENEURS, please keep in mind that IP rights are key economic assets in today's knowledge economy. That's why startups and SMEs need to build an IP strategy. Not to mention that IP is a key consideration for investors that will boost your investment opportunities if done right.

#startups #investment #intellectualproperty #researchpreneurs
",https://www.linkedin.com/feed/update/urn:li:activity:7004443078702891008,Organic,,Rim Silini,12/02/2022,,,All followers,189,,,29,0.153439149,4,0,0,,0.169312164,
"Throwback on our Web Summit experience. 
When you're connecting two worlds as RESEARCHPRENEURS, researchers and startups, you network twice as hard.

The summit was a learning experience for all of us and now is the time to apply technology to create products that solve issues.

Our startup was marked as one “making a difference around the world” 🎉. 
You, too, can make a difference and it's time to put your brilliant ideas into action:

Are you a researcher looking for opportunities outside academia and are you determined to make an immediate impact and implementation of your ideas?  ➡Send us a message with code “Researcher”

Or are you a startup with ground-breaking ideas to bring to market and now looking for deep minds and research-driven expertise to help you achieve your goals and co-create innovation. ➡  Send us a message with code “Startup”

After you send us the code via DM, we will get back to you with more information! The opportunities are always here, you just need to recognize them 😉 Are you ready?

#startups #research #networking #jobopportunity",https://www.linkedin.com/feed/update/urn:li:activity:7001830319288975360,Organic,,Rim Silini,11/25/2022,,,All followers,256,51,,7,0.02734375,7,0,0,,0.05078125,Video
"Although rejection is painful, the way an entrepreneur handles it is much more significant. 😎 

How you handle rejection and failure is important for your potential to do greater and better things. 

As a result, understanding how to handle rejection will present you with valuable development, growth, and learning opportunities that you won't gain any other way.

Our motto is “When one door closes, another opens."" 🚪 
 what’s yours? ✍️ 

We're working hard to improve our business processes and keep building relationships with startups. 

We are certain that sharing our journey, successes, and struggles will not only help us learn and grow, but will also inspire and help you learn with us!

If your startup is experiencing bottlenecking for product development or due diligence, reach out to us and let’s enable innovation co-creation with our excellent researchers. We invite impact startups to become our clients: https://lnkd.in/enrhMfDq

If you’d like to support us by making a donation, here is our official link: https://lnkd.in/eRrMFmq4 

Having funding recommendations? Go ahead and share with us! 💬

#resilience #startups #rejection #fundraising #growth #overcomechallenges 
",https://www.linkedin.com/feed/update/urn:li:activity:7000489185887367168,Organic,,Rim Silini,11/21/2022,,,All followers,289,,,22,0.076124564,10,0,0,,0.110726647,
"Let's have a look at the World Economic Forum's ""Top 10 In-Demand Skills for 2025.""  What do we notice? 🤔 

Only 20% of those on this list are focusing on hard skills, specifically tech-related skills. The remaining 80% are focused on soft skills, including problem-solving, self-management, and collaboration. What more could we be missing? 🔍 

In any case, the three categories of soft skills are intrinsically linked to self-knowledge, strategic thinking, creativity, emotional resilience, and intelligence. We're sharing this list with you today because we're certain of the value it brings to both researchers and entrepreneurs. Likewise, our sister startup QMindness also helps to improve soft skills, check their 🌐 website www.qmindness.com ⬅ and register for QM Masterminds.

We can reach our full potential and achieve our goals by choosing to take charge of our growth and development. It's also worth noting that personal development is an ongoing process. It is never too late! 🤩 

⭐ As the world progresses, the demand for problem-solving, critical thinking, and technological knowledge has never been greater. Whether you are in academia, an entrepreneur, or in any other field, you will find those skills beneficial. 

Share with us what other skills would you like to add to the list? 

#entrepreneurship #startup #softskills #academia #growth #development ",https://www.linkedin.com/feed/update/urn:li:activity:7000483726652559360,Organic,,Rim Silini,11/21/2022,,,All followers,210,,,11,0.052380953,5,3,2,,0.085714288,
"We have just added our hashtag #researchpreneurs to the LinkedIn search 😉

Follow our hashtag and stay tuned: https://lnkd.in/ecpW2umH 

RESEARCHPRENEURS are innovation enablers for Series A+ startups by empowering transdisciplinary co-creation between researchers and startups 

#linkedin #startups #research ",https://www.linkedin.com/feed/update/urn:li:activity:6997638879516229632,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",11/13/2022,,,All followers,158,,,1,0.006329114,4,0,0,,0.018987341,
"Learn more on our startup journey: next destination -> Berlin Startup Scholarship 🚀 

We're also welcoming Series A+ startups to apply and become our clients -> Fill out the form: https://lnkd.in/eSSnjwns

RESEARCHPRENEURS are innovation enablers for Series A+ startups by empowering transdisciplinary co-creation between researchers and startups  🤝 

#startups #innovation #cocreation #researchpreneurs",https://www.linkedin.com/feed/update/urn:li:activity:6997631831097364480,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",11/13/2022,,,All followers,340,,,34,0.100000001,13,2,0,,0.138235301,
,https://www.linkedin.com/feed/update/urn:li:activity:6995727718604578816,Organic,,Rim Silini,11/08/2022,,,All followers,108,,,4,0.037037037,0,0,0,,0.037037037,
"That was the #websummit2022 in #Lisbon!
Very insightful discussions with many inspiring people!

It's always a pleasure to meet innovative and ambitious entrepreneurs & professionals, and to have extensive discussions to work on solutions to the world's most pressing problems.

Attending Web Summit was an honor for #RESEARCHPRENEURS! Solving the challenges of research-driven startup development requires due diligence as well as a suitable collaborative and support ecosystem for research-driven innovators.
Congratulations to all of the companies and startups that demonstrated promising cutting-edge solutions and technologies.

We are also very pleased and delighted to announce that we have been recognized by #WebSummit2022 as a startup that makes a difference by enabling researchers and startups to co-create innovations by finding collaborations outside their network and having guidance on suitable collaborative approaches.

The last couple of days at Websummit were hectic, but incredible.

Thank you, Web Summit, partners, and all attendees for giving RESEARCHPRENEURS this opportunity. 

Now is the time to apply tech-solutions to to develop products that solve problems, but let's not forget to do it responsibly!

Don’t forget to visit our website and join our waitlist.
You can also reach us directly.⬇️
 
📲Instagram: @researchpreneurs
💻Website: www.researchpreneurs.com 
📩Email: info@researchpreneurs.com


#websummitlisbon #opportunity #thankyou #startup #tech #network #makinganimpact #entrepreneur ",https://www.linkedin.com/feed/update/urn:li:activity:6995329001787457536,Organic,,Rim Silini,11/07/2022,,,All followers,956,,,141,0.147489533,20,0,0,,0.167364016,
